,Id,geometry
0,0,"POLYGON ((176297.3226174336 11761684.27596655, 176297.3226174336 11762684.27596655, 177297.3226174336 11762684.27596655, 177297.3226174336 11761684.27596655, 176297.3226174336 11761684.27596655))"
1,0,"POLYGON ((177297.3226174336 11761684.27596655, 177297.3226174336 11762684.27596655, 178297.3226174336 11762684.27596655, 178297.3226174336 11761684.27596655, 177297.3226174336 11761684.27596655))"
2,0,"POLYGON ((178297.3226174336 11761684.27596655, 178297.3226174336 11762684.27596655, 179297.3226174336 11762684.27596655, 179297.3226174336 11761684.27596655, 178297.3226174336 11761684.27596655))"
3,0,"POLYGON ((179297.3226174336 11761684.27596655, 179297.3226174336 11762684.27596655, 180297.3226174336 11762684.27596655, 180297.3226174336 11761684.27596655, 179297.3226174336 11761684.27596655))"
4,0,"POLYGON ((175297.3226174336 11762684.27596655, 175297.3226174336 11763684.27596655, 176297.3226174336 11763684.27596655, 176297.3226174336 11762684.27596655, 175297.3226174336 11762684.27596655))"
5,0,"POLYGON ((176297.3226174336 11762684.27596655, 176297.3226174336 11763684.27596655, 177297.3226174336 11763684.27596655, 177297.3226174336 11762684.27596655, 176297.3226174336 11762684.27596655))"
6,0,"POLYGON ((177297.3226174336 11762684.27596655, 177297.3226174336 11763684.27596655, 178297.3226174336 11763684.27596655, 178297.3226174336 11762684.27596655, 177297.3226174336 11762684.27596655))"
7,0,"POLYGON ((178297.3226174336 11762684.27596655, 178297.3226174336 11763684.27596655, 179297.3226174336 11763684.27596655, 179297.3226174336 11762684.27596655, 178297.3226174336 11762684.27596655))"
8,0,"POLYGON ((179297.3226174336 11762684.27596655, 179297.3226174336 11763684.27596655, 180297.3226174336 11763684.27596655, 180297.3226174336 11762684.27596655, 179297.3226174336 11762684.27596655))"
9,0,"POLYGON ((180297.3226174336 11762684.27596655, 180297.3226174336 11763684.27596655, 181297.3226174336 11763684.27596655, 181297.3226174336 11762684.27596655, 180297.3226174336 11762684.27596655))"
10,0,"POLYGON ((181297.3226174336 11762684.27596655, 181297.3226174336 11763684.27596655, 182297.3226174336 11763684.27596655, 182297.3226174336 11762684.27596655, 181297.3226174336 11762684.27596655))"
11,0,"POLYGON ((184297.3226174336 11762684.27596655, 184297.3226174336 11763684.27596655, 185297.3226174336 11763684.27596655, 185297.3226174336 11762684.27596655, 184297.3226174336 11762684.27596655))"
12,0,"POLYGON ((185297.3226174336 11762684.27596655, 185297.3226174336 11763684.27596655, 186297.3226174336 11763684.27596655, 186297.3226174336 11762684.27596655, 185297.3226174336 11762684.27596655))"
13,0,"POLYGON ((186297.3226174336 11762684.27596655, 186297.3226174336 11763684.27596655, 187297.3226174336 11763684.27596655, 187297.3226174336 11762684.27596655, 186297.3226174336 11762684.27596655))"
14,0,"POLYGON ((187297.3226174336 11762684.27596655, 187297.3226174336 11763684.27596655, 188297.3226174336 11763684.27596655, 188297.3226174336 11762684.27596655, 187297.3226174336 11762684.27596655))"
15,0,"POLYGON ((192297.3226174336 11762684.27596655, 192297.3226174336 11763684.27596655, 193297.3226174336 11763684.27596655, 193297.3226174336 11762684.27596655, 192297.3226174336 11762684.27596655))"
16,0,"POLYGON ((193297.3226174336 11762684.27596655, 193297.3226174336 11763684.27596655, 194297.3226174336 11763684.27596655, 194297.3226174336 11762684.27596655, 193297.3226174336 11762684.27596655))"
17,0,"POLYGON ((194297.3226174336 11762684.27596655, 194297.3226174336 11763684.27596655, 195297.3226174336 11763684.27596655, 195297.3226174336 11762684.27596655, 194297.3226174336 11762684.27596655))"
18,0,"POLYGON ((174297.3226174336 11763684.27596655, 174297.3226174336 11764684.27596655, 175297.3226174336 11764684.27596655, 175297.3226174336 11763684.27596655, 174297.3226174336 11763684.27596655))"
19,0,"POLYGON ((175297.3226174336 11763684.27596655, 175297.3226174336 11764684.27596655, 176297.3226174336 11764684.27596655, 176297.3226174336 11763684.27596655, 175297.3226174336 11763684.27596655))"
20,0,"POLYGON ((176297.3226174336 11763684.27596655, 176297.3226174336 11764684.27596655, 177297.3226174336 11764684.27596655, 177297.3226174336 11763684.27596655, 176297.3226174336 11763684.27596655))"
21,0,"POLYGON ((177297.3226174336 11763684.27596655, 177297.3226174336 11764684.27596655, 178297.3226174336 11764684.27596655, 178297.3226174336 11763684.27596655, 177297.3226174336 11763684.27596655))"
22,0,"POLYGON ((178297.3226174336 11763684.27596655, 178297.3226174336 11764684.27596655, 179297.3226174336 11764684.27596655, 179297.3226174336 11763684.27596655, 178297.3226174336 11763684.27596655))"
23,0,"POLYGON ((179297.3226174336 11763684.27596655, 179297.3226174336 11764684.27596655, 180297.3226174336 11764684.27596655, 180297.3226174336 11763684.27596655, 179297.3226174336 11763684.27596655))"
24,0,"POLYGON ((180297.3226174336 11763684.27596655, 180297.3226174336 11764684.27596655, 181297.3226174336 11764684.27596655, 181297.3226174336 11763684.27596655, 180297.3226174336 11763684.27596655))"
25,0,"POLYGON ((181297.3226174336 11763684.27596655, 181297.3226174336 11764684.27596655, 182297.3226174336 11764684.27596655, 182297.3226174336 11763684.27596655, 181297.3226174336 11763684.27596655))"
26,0,"POLYGON ((182297.3226174336 11763684.27596655, 182297.3226174336 11764684.27596655, 183297.3226174336 11764684.27596655, 183297.3226174336 11763684.27596655, 182297.3226174336 11763684.27596655))"
27,0,"POLYGON ((183297.3226174336 11763684.27596655, 183297.3226174336 11764684.27596655, 184297.3226174336 11764684.27596655, 184297.3226174336 11763684.27596655, 183297.3226174336 11763684.27596655))"
28,0,"POLYGON ((184297.3226174336 11763684.27596655, 184297.3226174336 11764684.27596655, 185297.3226174336 11764684.27596655, 185297.3226174336 11763684.27596655, 184297.3226174336 11763684.27596655))"
